numThreads,type,nanoseconds
8,Faasm local snap,65911001
8,Faasm local snap,57037672
8,Faasm local snap,63016631
8,Faasm local snap,63960893
8,Faasm local snap,60184927
8,Faasm local snap,68468185
8,Faasm local snap,70595302
8,Faasm local snap,58963913
8,Faasm local snap,59004941
8,Faasm local snap,59276943
8,Faasm local snap,65001954
8,Faasm local snap,57471658
8,Faasm local snap,60359965
8,Faasm local snap,58254489
8,Faasm local snap,55884225
8,Faasm local snap,56466502
8,Faasm local snap,59149531
8,Faasm local snap,63614180
8,Faasm local snap,66623949
8,Faasm local snap,54753126
8,Faasm local snap,61143793
8,Faasm local snap,56102446
8,Faasm local snap,59213313
8,Faasm local snap,55902726
8,Faasm local snap,55156925
8,Faasm local snap,55875580
8,Faasm local snap,51415994
8,Faasm local snap,51375761
8,Faasm local snap,54509332
8,Faasm local snap,53490811
8,Faasm local snap,60425015
8,Faasm local snap,67565766
8,Faasm local snap,62837115
8,Faasm local snap,53721027
8,Faasm local snap,55453582
8,Faasm local snap,53343545
8,Faasm local snap,55497448
8,Faasm local snap,62801381
8,Faasm local snap,64933519
8,Faasm local snap,53180029
8,Faasm local snap,56598877
8,Faasm local snap,53848950
8,Faasm local snap,56999534
8,Faasm local snap,51714714
8,Faasm local snap,57922945
8,Faasm local snap,55586209
8,Faasm local snap,54963289
8,Faasm local snap,51653149
8,Faasm local snap,55114933
8,Faasm local snap,52163105
8,Faasm local snap,53452346
8,Faasm local snap,69404928
8,Faasm local snap,58949823
8,Faasm local snap,60192266
8,Faasm local snap,75457985
8,Faasm local snap,55221370
8,Faasm local snap,67821273
8,Faasm local snap,53932641
8,Faasm local snap,54036965
8,Faasm local snap,54540880
8,Faasm local snap,51483984
8,Faasm local snap,51508722
8,Faasm local snap,57529606
8,Faasm local snap,54105952
8,Faasm local snap,58331933
8,Faasm local snap,60023226
8,Faasm local snap,52630106
8,Faasm local snap,55388001
8,Faasm local snap,64646462
8,Faasm local snap,53992702
8,Faasm local snap,55727614
8,Faasm local snap,58261410
8,Faasm local snap,56813120
8,Faasm local snap,59365237
8,Faasm local snap,57371411
8,Faasm local snap,53360863
8,Faasm local snap,54233035
8,Faasm local snap,58096874
8,Faasm local snap,56074402
8,Faasm local snap,67447285
8,Faasm local snap,57046456
8,Faasm local snap,58570671
8,Faasm local snap,58428280
8,Faasm local snap,59744577
8,Faasm local snap,62556730
8,Faasm local snap,62479385
8,Faasm local snap,66688070
8,Faasm local snap,68735561
8,Faasm local snap,67464537
8,Faasm local snap,69176078
8,Faasm local snap,63888259
8,Faasm local snap,63857855
8,Faasm local snap,62482923
8,Faasm local snap,59140983
8,Faasm local snap,63285781
8,Faasm local snap,64162556
8,Faasm local snap,67553819
8,Faasm local snap,60000467
8,Faasm local snap,55602398
8,Faasm local snap,128050030
8,Faasm local snap,117380642
