,Loop size,Number of threads,System,Time (ms),Throughput (ops/msec)
353,Huge,18,Local,11588760,155.32291634307725
354,Huge,18,Local,11734080,153.3993291336006
355,Huge,20,Local,10640899,169.1586396976421
356,Huge,20,Local,10100043,178.21706303626627
357,Huge,20,Local,10348496,173.93831915285082
358,Huge,20,Local,10615045,169.5706424230891
359,Huge,20,Local,10304753,174.67667589897593
360,Huge,20,Local,10635211,169.24911033735015
361,Huge,20,Local,10221869,176.09304130193803
362,Huge,20,Local,10615830,169.55810332305623
363,Huge,20,Local,10634938,169.25345498017947
364,Huge,20,Local,10120365,177.85919776608847
365,Huge,22,Local,11302553,159.2560548046092
366,Huge,22,Local,11509149,156.39731486663348
367,Huge,22,Local,10825429,166.27516563084936
368,Huge,22,Local,11767524,152.96335915694755
369,Huge,22,Local,10870516,165.58551590375288
370,Huge,22,Local,13114835,137.2491533442853
371,Huge,22,Local,11534005,156.060275680477
372,Huge,22,Local,10975338,164.00406074054393
373,Huge,22,Local,11770293,152.92737402543844
374,Huge,22,Local,11215413,160.49342097344075
375,Huge,24,Local,12257938,146.84362084389724
376,Huge,24,Local,12492027,144.0919075823323
377,Huge,24,Local,12128357,148.41251787031004
378,Huge,24,Local,11568833,155.5904558394092
379,Huge,24,Local,12724979,141.45406448214965
380,Huge,24,Local,12991290,138.55436988936432
381,Huge,24,Local,12382614,145.36510626916095
382,Huge,24,Local,13450229,133.82671774584657
383,Huge,24,Local,12705756,141.6680754769728
384,Huge,24,Local,12792870,140.7033761775114
385,Huge,26,Local,12827370,140.32494579948968
386,Huge,26,Local,12597457,142.88598087693413
387,Huge,26,Local,12140159,148.26823932042404
388,Huge,26,Local,12158712,148.04199655358232
389,Huge,26,Local,11875156,151.57695612588162
390,Huge,26,Local,11992729,150.09094260363926
391,Huge,26,Local,12708385,141.63876841943332
392,Huge,26,Local,12000477,149.99403773699996
393,Huge,26,Local,11796689,152.58518725042256
394,Huge,26,Local,12398776,145.1756205612554
395,Huge,28,Local,11687123,154.01566322182114
396,Huge,28,Local,12142713,148.23705377867367
397,Huge,28,Local,11866051,151.69326341172814
398,Huge,28,Local,11276598,159.62260958491206
399,Huge,28,Local,11923165,150.96662673040254
400,Huge,28,Local,12090825,148.87321584755384
401,Huge,28,Local,11978160,150.273497765934
402,Huge,28,Local,11969489,150.38235968135314
403,Huge,28,Local,12552143,143.4018079621942
404,Huge,28,Local,12379058,145.40686375328397
405,Huge,30,Local,11507311,156.42229535640428
406,Huge,30,Local,11319892,159.0121177834559
407,Huge,30,Local,11305502,159.21451342894812
408,Huge,30,Local,11528887,156.12955526409445
409,Huge,30,Local,11106674,162.06471892485544
410,Huge,30,Local,10867138,165.63698740183477
411,Huge,30,Local,10870183,165.5905884933124
412,Huge,30,Local,11485079,156.72508652313144
413,Huge,30,Local,11444132,157.28584745439846
414,Huge,30,Local,11234950,160.21433117192333
415,Huge,32,Local,10789113,166.83484545949236
416,Huge,32,Local,11629661,154.77665256106778
417,Huge,32,Local,11056457,162.8007959511804
418,Huge,32,Local,11033221,163.14365496712156
419,Huge,32,Local,10929289,164.69506845321777
420,Huge,32,Local,11095801,162.22352942342783
421,Huge,32,Local,10977394,163.97334376446724
422,Huge,32,Local,10904967,165.0623977128954
423,Huge,32,Local,11522917,156.210445671005
424,Huge,32,Local,11247717,160.0324759237808
425,Huge,34,Local,11161379,161.27039499330684
426,Huge,34,Local,10983955,163.87539825135846
427,Huge,34,Local,10956715,164.28281651936734
428,Huge,34,Local,11641251,154.62255731793775
429,Huge,34,Local,10821966,166.32837323643412
430,Huge,34,Local,11258009,159.88617525532268
431,Huge,34,Local,10911761,164.95962475717715
432,Huge,34,Local,10710603,168.0577648149222
433,Huge,34,Local,11204662,160.6474162272811
434,Huge,34,Local,11005005,163.56194295232032
435,Huge,36,Local,11135196,161.64960185703063
436,Huge,36,Local,11212378,160.53686381247581
437,Huge,36,Local,11095497,162.22797410517077
438,Huge,36,Local,10898426,165.16146460048452
439,Huge,36,Local,11116351,161.92363843135215
440,Huge,36,Local,10913121,164.93906738503128
